交易日,类型,板块,资金方向,交易状态,成交净买额,资金净流入,当日资金余额,上涨数,持平数,下跌数,相关指数,指数涨跌幅
2026-05-12,沪港通,沪股通,北向,1,0.0,0.0,0.0,412,19,1093,上证指数,-0.39
2026-05-12,沪港通,港股通(沪),南向,1,36.07245,420.0,0.0,174,19,407,恒生指数,-0.15
2026-05-12,深港通,深股通,北向,1,0.0,0.0,0.0,371,14,1326,深证成指,-0.55
2026-05-12,深港通,港股通(深),南向,1,-18.64409,420.0,0.0,174,19,407,恒生指数,-0.15
