序号,sector,行业指数,pct_change,inflow,outflow,main_net_inflow,stock_count,top_stock,top_stock_pct,当前价,main_net_inflow_pct,fetch_time
81,风电设备,5724.95,-1.53,2076000000.0000002,2986000000.0,-910000000.0,32,运达股份,1.83,16.67,,2026-05-19 11:12:10
82,油气开采及服务,1897.21,-1.53,1544000000.0,1905999999.9999998,-362000000.0,19,博迈科,10.03,18.87,,2026-05-19 11:12:10
83,工业金属,4619.52,-1.54,5077000000.0,7673000000.0,-2596000000.0,56,金诚信,2.44,64.74,,2026-05-19 11:12:10
84,化学原料,3517.76,-1.54,3785000000.0,4855000000.0,-1069999999.9999999,59,三孚股份,9.99,48.87,,2026-05-19 11:12:10
85,化学纤维,4203.2,-1.56,1056000000.0,1588000000.0,-532000000.0,29,汇隆新材,2.89,31.0,,2026-05-19 11:12:10
86,军工装备,2538.64,-1.81,10261000000.0,13126000000.0,-2865000000.0,83,三瑞智能,5.31,165.42,,2026-05-19 11:12:10
87,贵金属,5398.46,-1.85,2434000000.0,4024000000.0,-1590000000.0,13,四川黄金,-0.11,55.75,,2026-05-19 11:12:10
88,非金属材料,32478.7,-1.91,1199000000.0,1614000000.0,-415000000.00000006,14,东方碳素,1.92,10.1,,2026-05-19 11:12:10
89,能源金属,39525.3,-2.94,4308000000.0,5899000000.0,-1591000000.0,12,博迁新材,7.21,126.5,,2026-05-19 11:12:10
90,小金属,9348.0,-3.02,8163000000.0,11572000000.0,-3409000000.0000005,29,天工股份,3.75,19.38,,2026-05-19 11:12:10
