交易日,类型,板块,资金方向,交易状态,成交净买额,资金净流入,当日资金余额,上涨数,持平数,下跌数,相关指数,指数涨跌幅
2026-05-19,沪港通,沪股通,北向,1,0.0,0.0,0.0,620,62,842,上证指数,-0.2
2026-05-19,沪港通,港股通(沪),南向,1,1.253752,420.0,0.0,183,38,380,恒生指数,0.17
2026-05-19,深港通,深股通,北向,1,0.0,0.0,0.0,657,40,1014,深证成指,-1.08
2026-05-19,深港通,港股通(深),南向,1,21.434641,420.0,0.0,183,38,380,恒生指数,0.17
