序号,sector,pct_change,main_net_inflow,main_net_inflow_pct,super_large_net,今日超大单净流入-净占比,large_net,今日大单净流入-净占比,medium_net,今日中单净流入-净占比,small_net,今日小单净流入-净占比,今日主力净流入最大股,fetch_time
449,专用设备,-1.18,-1952317952.0,-3.52,-915627264.0,-1.65,-1036690688.0,-1.87,-44874496.0,-0.08,1954442752.0,3.53,芯碁微装,2026-05-12 14:34:25
450,家用电器,-1.19,-1997768208.0,-5.96,-1259744016.0,-3.76,-738024192.0,-2.2,503253248.0,1.5,1491738624.0,4.45,格力电器,2026-05-12 14:34:25
451,锂,-2.66,-2024618816.0,-8.77,-1190168128.0,-5.16,-834450688.0,-3.62,501141248.0,2.17,1523472640.0,6.6,永杉锂业,2026-05-12 14:34:25
452,其他计算机设备,-1.2,-2035187712.0,-3.79,-593075968.0,-1.1,-1442111744.0,-2.68,215601664.0,0.4,1782983936.0,3.32,中国长城,2026-05-12 14:34:25
453,营销代理,-1.46,-2093472304.0,-11.75,-1322967184.0,-7.43,-770505120.0,-4.33,374302976.0,2.1,1719174144.0,9.65,天娱数科,2026-05-12 14:34:25
454,化学制品,-1.43,-2143234784.0,-5.21,-1328909024.0,-3.23,-814325760.0,-1.98,186430976.0,0.45,1920267776.0,4.67,新 和 成,2026-05-12 14:34:25
455,广告营销,-1.43,-2267559024.0,-11.97,-1356628288.0,-7.16,-910930736.0,-4.81,461515776.0,2.44,1806048000.0,9.53,天娱数科,2026-05-12 14:34:25
456,集成电路封测,-1.25,-2335504128.0,-8.08,-1708956160.0,-5.91,-626547968.0,-2.17,609869824.0,2.11,1716758272.0,5.94,甬矽电子,2026-05-12 14:34:25
457,通用设备,-0.61,-2448340480.0,-2.56,-1271805184.0,-1.33,-1176535296.0,-1.23,-168772864.0,-0.18,2499889408.0,2.62,中大力德,2026-05-12 14:34:25
458,垂直应用软件,-1.14,-2555256864.0,-6.9,-1282394912.0,-3.46,-1272861952.0,-3.44,519944448.0,1.4,1997396736.0,5.39,四维图新,2026-05-12 14:34:25
459,白酒Ⅱ,-1.78,-2643299696.0,-18.5,-479551712.0,-3.36,-2163747984.0,-15.15,1658971632.0,11.61,984327920.0,6.89,口子窖,2026-05-12 14:34:25
460,白酒Ⅲ,-1.78,-2643440336.0,-18.5,-479071904.0,-3.35,-2164368432.0,-15.15,1659251040.0,11.61,984282896.0,6.89,口子窖,2026-05-12 14:34:25
461,集成电路制造,-1.47,-2659971840.0,-10.05,-1868377344.0,-7.06,-791594496.0,-2.99,1388004608.0,5.25,1271912224.0,4.81,华润微,2026-05-12 14:34:25
462,稀土,-4.48,-2662572704.0,-14.5,-2018841248.0,-10.99,-643731456.0,-3.5,517881088.0,2.82,2144689136.0,11.68,中稀有色,2026-05-12 14:34:25
463,通信应用增值服务,-0.12,-2696580976.0,-13.59,-1582054000.0,-7.97,-1114526976.0,-5.62,816643328.0,4.12,1879857184.0,9.47,线上线下,2026-05-12 14:34:25
464,医药生物,-1.6,-2707708928.0,-2.02,-1357001472.0,-1.01,-1350707456.0,-1.01,1134261248.0,0.85,1463929344.0,1.09,恒瑞医药,2026-05-12 14:34:25
