序号,sector,pct_change,main_net_inflow,main_net_inflow_pct,super_large_net,今日超大单净流入-净占比,large_net,今日大单净流入-净占比,medium_net,今日中单净流入-净占比,small_net,今日小单净流入-净占比,今日主力净流入最大股,fetch_time
66,粮食种植,-1.42,2150808.0,0.41,-12574376.0,-2.39,14725184.0,2.79,26356816.0,5.0,-28507624.0,-5.41,北大荒,2026-05-12 14:34:25
67,光伏主材,-0.62,2034512.0,0.04,31930448.0,0.7,-29895936.0,-0.66,15343728.0,0.34,-17371568.0,-0.38,隆基绿能,2026-05-12 14:34:25
68,长材,-0.78,1900943.0,1.05,6571339.0,3.62,-4670396.0,-2.57,-3589663.0,-1.98,1688719.0,0.93,三钢闽光,2026-05-12 14:34:25
69,林业Ⅱ,-1.19,765328.0,0.02,68940016.0,1.9,-68174688.0,-1.88,-1344896.0,-0.04,579552.0,0.02,平潭发展,2026-05-12 14:34:25
70,林业Ⅲ,-1.19,249168.0,0.01,68940016.0,1.9,-68690848.0,-1.9,-994512.0,-0.03,745360.0,0.02,平潭发展,2026-05-12 14:34:25
71,医美服务,1.43,100508.0,0.21,-682938.0,-1.46,783446.0,1.67,3934526.0,8.41,-4035033.0,-8.62,*ST美谷,2026-05-12 14:34:25
72,个护小家电,-1.12,-1212757.0,-0.36,-11500702.0,-3.37,10287945.0,3.01,7463584.0,2.19,-12701716.0,-3.72,倍轻松,2026-05-12 14:34:25
73,信托,-0.68,-1278082.0,-0.19,-8100207.0,-1.23,6822125.0,1.04,-1777349.0,-0.27,3055432.0,0.46,国网英大,2026-05-12 14:34:25
74,海洋捕捞,-1.9,-1789196.0,-1.91,966493.0,1.03,-2755689.0,-2.94,2478620.0,2.65,-689423.0,-0.74,开创国际,2026-05-12 14:34:25
75,其他能源发电,-1.17,-1818471.0,-1.05,-4188677.0,-2.42,2370206.0,1.37,6288372.0,3.63,-4469901.0,-2.58,顺发恒能,2026-05-12 14:34:25
76,医药商业,-0.9,-1895328.0,-0.04,69301840.0,1.5,-71197168.0,-1.54,27896448.0,0.6,-26001120.0,-0.56,重药控股,2026-05-12 14:34:25
77,房地产综合服务,-2.02,-2920753.0,-5.76,-1266039.0,-2.5,-1654714.0,-3.26,-3189336.0,-6.29,6110089.0,12.05,珠江股份,2026-05-12 14:34:25
78,人力资源服务,-1.37,-3208514.0,-1.45,-3845798.0,-1.74,637284.0,0.29,16592125.0,7.49,-13383610.0,-6.04,外服控股,2026-05-12 14:34:25
79,饰品,-0.86,-3811536.0,-0.22,-23512528.0,-1.33,19700992.0,1.11,58959840.0,3.33,-55148304.0,-3.11,ST新华锦,2026-05-12 14:34:25
80,熟食,-1.3,-4709793.0,-2.15,-7875309.0,-3.59,3165516.0,1.44,-757472.0,-0.35,5467265.0,2.49,煌上煌,2026-05-12 14:34:25
81,纺织鞋类制造,-1.72,-5265505.0,-6.52,-1742647.0,-2.16,-3522858.0,-4.36,4828538.0,5.97,436967.0,0.54,华利集团,2026-05-12 14:34:25
82,果蔬加工,1.58,-6271845.0,-1.1,6775768.0,1.19,-13047613.0,-2.28,-17022357.0,-2.98,22479679.0,3.93,安德利,2026-05-12 14:34:25
83,其他化学原料,-1.67,-7599920.0,-0.15,-35134128.0,-0.69,27534208.0,0.54,-22801216.0,-0.45,18302784.0,0.36,卫星化学,2026-05-12 14:34:25
84,水泥,-0.49,-7654384.0,-0.18,108358864.0,2.51,-116013248.0,-2.68,-10649024.0,-0.25,18402736.0,0.43,苏博特,2026-05-12 14:34:25
85,辅料,0.42,-8059804.0,-3.65,-550323.0,-0.25,-7509481.0,-3.4,20720268.0,9.38,-12207019.0,-5.53,夜光明,2026-05-12 14:34:25
86,学历教育,-2.68,-8423296.0,-4.46,-2257201.0,-1.19,-6166095.0,-3.26,17921049.0,9.48,-9497754.0,-5.03,国脉科技,2026-05-12 14:34:25
87,医疗服务,-1.69,-8994656.0,-0.04,-371849312.0,-1.59,362854656.0,1.56,-9522944.0,-0.04,11019008.0,0.05,药明康德,2026-05-12 14:34:25
88,农业综合Ⅲ,-1.87,-12321878.0,-7.21,-10842007.0,-6.34,-1479871.0,-0.87,12977049.0,7.59,-1903453.0,-1.11,润农节水,2026-05-12 14:34:25
89,农业综合Ⅱ,-1.87,-12321878.0,-7.21,-10842007.0,-6.35,-1479871.0,-0.87,12977049.0,7.59,-1903453.0,-1.11,润农节水,2026-05-12 14:34:25
90,定制家居,-0.99,-12996275.0,-0.69,-31903875.0,-1.69,18907600.0,1.0,31254672.0,1.66,-26329600.0,-1.4,顶固集创,2026-05-12 14:34:25
91,家纺,1.01,-13243936.0,-1.12,10977826.0,0.93,-24221762.0,-2.05,-34208176.0,-2.9,44901728.0,3.81,梦洁股份,2026-05-12 14:34:25
92,视频媒体,-1.63,-13516801.0,-5.23,2351761.0,0.91,-15868562.0,-6.14,2013028.0,0.78,11503773.0,4.45,芒果超媒,2026-05-12 14:34:25
93,水产饲料,-0.96,-14961070.0,-1.43,-45320001.0,-4.34,30358931.0,2.91,63782016.0,6.1,-48820944.0,-4.67,百洋股份,2026-05-12 14:34:25
94,钢铁管材,-1.23,-14985500.0,-4.08,-14995276.0,-4.09,9776.0,0.0,9248199.0,2.52,5732310.0,1.56,武进不锈,2026-05-12 14:34:25
95,基建市政工程,-0.22,-15408464.0,-0.13,-104992368.0,-0.91,89583904.0,0.78,112180240.0,0.98,-86228960.0,-0.75,中国电建,2026-05-12 14:34:25
96,油气开采Ⅱ,-0.91,-15735240.0,-0.76,-118263128.0,-5.71,102527888.0,4.95,60512480.0,2.92,-44824304.0,-2.16,中国海油,2026-05-12 14:34:25
97,油气开采Ⅲ,-0.88,-15762120.0,-0.76,-118290008.0,-5.71,102527888.0,4.95,60650048.0,2.93,-44884304.0,-2.17,中国海油,2026-05-12 14:34:25
98,公交,-1.12,-16107830.0,-4.33,1540536.0,0.41,-17648366.0,-4.74,-8950157.0,-2.41,25057987.0,6.74,富临运业,2026-05-12 14:34:25
99,综合包装,0.95,-16502179.0,-2.76,-3039291.0,-0.51,-13462888.0,-2.26,1547262.0,0.26,14250967.0,2.39,海顺新材,2026-05-12 14:34:25
100,化妆品制造及其他,-1.59,-16602816.0,-2.41,9734182.0,1.41,-26336998.0,-3.82,8678185.0,1.26,3217520.0,0.47,科思股份,2026-05-12 14:34:25
101,鞋帽及其他,-0.13,-16658642.0,-1.27,-36033826.0,-2.76,19375184.0,1.48,5158512.0,0.39,11500144.0,0.88,天创时尚,2026-05-12 14:34:25
102,汽车经销商,-1.51,-16694170.0,-10.05,-9383976.0,-5.65,-7310194.0,-4.4,7774069.0,4.68,7290324.0,4.39,德众汽车,2026-05-12 14:34:25
103,照明设备Ⅱ,-1.51,-17686883.0,-1.13,-37862771.0,-2.43,20175888.0,1.29,65775120.0,4.21,-47514944.0,-3.04,勤上股份,2026-05-12 14:34:25
104,照明设备Ⅲ,-1.51,-17686883.0,-1.13,-37862771.0,-2.42,20175888.0,1.29,65776496.0,4.21,-47506352.0,-3.04,勤上股份,2026-05-12 14:34:25
105,耐火材料,-1.23,-18520192.0,-0.96,-19697504.0,-1.02,1177312.0,0.06,67093776.0,3.49,-74219136.0,-3.86,北京利尔,2026-05-12 14:34:25
106,其他专业服务,-1.62,-19033784.0,-4.62,-10369963.0,-2.52,-8663821.0,-2.1,-5543566.0,-1.35,24035197.0,5.84,零点有数,2026-05-12 14:34:25
107,其他养殖,-2.26,-19589028.0,-8.81,-7400592.0,-3.33,-12188436.0,-5.48,7707396.0,3.47,11881631.0,5.34,*ST天山,2026-05-12 14:34:25
108,烘焙食品,-1.33,-20071497.0,-3.11,-2875644.0,-0.45,-17195853.0,-2.66,6086050.0,0.94,13985456.0,2.17,桂发祥,2026-05-12 14:34:25
109,快递,-0.8,-20613029.0,-1.35,72840847.0,4.75,-93453876.0,-6.1,-23645088.0,-1.54,44258112.0,2.89,申通快递,2026-05-12 14:34:25
110,钟表珠宝,-1.12,-20967386.0,-1.31,-34027674.0,-2.12,13060288.0,0.82,66719536.0,4.17,-45752160.0,-2.86,飞亚达,2026-05-12 14:34:25
111,园林工程,-0.55,-21422095.0,-0.84,15642545.0,0.62,-37064640.0,-1.46,28383712.0,1.12,-6961616.0,-0.27,*ST东珠,2026-05-12 14:34:25
112,橡胶助剂,-1.63,-21509016.0,-2.33,-5687834.0,-0.62,-15821182.0,-1.72,37208928.0,4.04,-15699904.0,-1.7,阳谷华泰,2026-05-12 14:34:25
113,冶钢原料,-0.88,-22166560.0,-0.76,59805024.0,2.04,-81971584.0,-2.79,-26904480.0,-0.92,49071040.0,1.67,大中矿业,2026-05-12 14:34:25
114,文化用品,-1.69,-22636109.0,-4.72,2785804.0,0.58,-25421913.0,-5.3,14587341.0,3.04,8048769.0,1.68,齐心集团,2026-05-12 14:34:25
115,水产养殖,-2.67,-22778237.0,-8.1,-5574600.0,-1.98,-17203637.0,-6.12,13747781.0,4.89,9030457.0,3.21,獐子岛,2026-05-12 14:34:25
116,其他酒类,-0.35,-23149854.0,-4.58,-12624998.0,-2.5,-10524856.0,-2.08,21561819.0,4.26,1588035.0,0.31,*ST尼雅,2026-05-12 14:34:25
117,其他家电Ⅲ,-2.72,-23503799.0,-8.85,-8108466.0,-3.05,-15395333.0,-5.8,11711355.0,4.41,11792443.0,4.44,奥佳华,2026-05-12 14:34:25
118,其他家电Ⅱ,-2.72,-23503799.0,-8.85,-8108466.0,-3.05,-15395333.0,-5.8,11711355.0,4.41,11792443.0,4.44,奥佳华,2026-05-12 14:34:25
119,其他纺织,-1.55,-23777162.0,-0.7,-43243898.0,-1.27,19466736.0,0.57,34961968.0,1.03,-11184784.0,-0.33,聚杰微纤,2026-05-12 14:34:25
120,渔业,-2.34,-24567433.0,-6.55,-4608107.0,-1.23,-19959326.0,-5.32,16226400.0,4.33,8341034.0,2.22,开创国际,2026-05-12 14:34:25
121,大众出版,-1.24,-24689405.0,-0.68,12253267.0,0.34,-36942672.0,-1.02,66365936.0,1.82,-41788560.0,-1.15,中国科传,2026-05-12 14:34:25
122,房产租赁经纪,0.76,-27496316.0,-3.48,505805.0,0.06,-28002121.0,-3.55,-20512033.0,-2.6,48008356.0,6.08,世联行,2026-05-12 14:34:25
123,餐饮,-2.07,-27913574.0,-16.33,-6544280.0,-3.83,-21369294.0,-12.5,680637.0,0.4,27232937.0,15.93,全 聚 德,2026-05-12 14:34:25
124,跨境物流,-1.4,-28123197.0,-3.05,-14374044.0,-1.56,-13749153.0,-1.49,58671216.0,6.37,-35402576.0,-3.84,东航物流,2026-05-12 14:34:25
125,卫浴制品,-1.57,-28250765.0,-9.64,-9169867.0,-3.13,-19080898.0,-6.51,13701493.0,4.68,14549273.0,4.97,箭牌家居,2026-05-12 14:34:25
126,纯碱,-1.26,-30506076.0,-3.69,-27798418.0,-3.36,-2707658.0,-0.33,42750183.0,5.17,-12244112.0,-1.48,博源化工,2026-05-12 14:34:25
127,酒店,-1.85,-30786199.0,-3.94,-9398315.0,-1.2,-21387884.0,-2.74,-18896092.0,-2.42,49682292.0,6.35,华天酒店,2026-05-12 14:34:25
128,商用载客车,-1.31,-30832272.0,-2.58,-37041843.0,-3.1,6209571.0,0.52,35269744.0,2.95,-4437472.0,-0.37,宇通客车,2026-05-12 14:34:25
129,教育运营及其他,-2.66,-31478877.0,-8.66,-86787.0,-0.02,-31392090.0,-8.64,168928.0,0.05,31309949.0,8.62,*ST国化,2026-05-12 14:34:25
130,物业管理,-0.8,-31678026.0,-5.54,-15014579.0,-2.63,-16663447.0,-2.91,3777618.0,0.66,27900409.0,4.88,中天服务,2026-05-12 14:34:25
131,高速公路,-0.2,-31849617.0,-2.41,-36985649.0,-2.8,5136032.0,0.39,16531056.0,1.25,15314864.0,1.16,宁沪高速,2026-05-12 14:34:25
132,火电设备,-2.07,-33931471.0,-6.76,-4536970.0,-0.9,-29394501.0,-5.86,18551300.0,3.7,15380170.0,3.07,西子洁能,2026-05-12 14:34:25
133,期货,-2.1,-34110969.0,-6.96,-12175835.0,-2.48,-21935134.0,-4.47,-16163753.0,-3.3,50274723.0,10.25,永安期货,2026-05-12 14:34:25
134,其他黑色家电,-1.46,-35113491.0,-3.2,-7781753.0,-0.71,-27331738.0,-2.49,7818752.0,0.71,27294736.0,2.49,同洲电子,2026-05-12 14:34:25
135,旅游综合,-1.57,-36263409.0,-4.43,-51059166.0,-6.24,14795757.0,1.81,43347651.0,5.29,-7084240.0,-0.87,凯撒旅业,2026-05-12 14:34:25
136,基础建设,-0.36,-36425488.0,-0.26,-89347088.0,-0.64,52921600.0,0.38,140398304.0,1.0,-93525168.0,-0.67,中国电建,2026-05-12 14:34:25
137,农用机械,-1.69,-36448715.0,-5.36,-3748431.0,-0.55,-32700284.0,-4.8,4286926.0,0.63,32047599.0,4.71,丰安股份,2026-05-12 14:34:25
138,洗护用品,-3.53,-37642916.0,-9.98,-24719483.0,-6.55,-12923433.0,-3.43,7720929.0,2.05,29921989.0,7.93,倍加洁,2026-05-12 14:34:25
139,厨卫电器,-1.11,-38527955.0,-3.54,47665.0,0.0,-38575620.0,-3.54,15631904.0,1.43,22896032.0,2.1,日出东方,2026-05-12 14:34:25
140,医疗美容,-1.29,-38852285.0,-6.71,-13465513.0,-2.33,-25386772.0,-4.39,10587943.0,1.83,3803900.0,0.66,*ST美谷,2026-05-12 14:34:25
141,医美耗材,-2.2,-38952793.0,-7.32,-12782575.0,-2.4,-26170218.0,-4.92,6653418.0,1.25,7838934.0,1.47,华熙生物,2026-05-12 14:34:25
142,汽车综合服务,-3.2,-39606229.0,-5.8,-25661880.0,-3.76,-13944349.0,-2.04,54622898.0,8.0,-15016670.0,-2.2,浩物股份,2026-05-12 14:34:25
143,厨房电器,-1.71,-40933399.0,-4.85,-4513971.0,-0.54,-36419428.0,-4.32,4550276.0,0.54,36383120.0,4.31,浙江美大,2026-05-12 14:34:25
144,保健品,0.04,-41141313.0,-4.35,-35735557.0,-3.78,-5405756.0,-0.57,23349968.0,2.47,16011458.0,1.69,交大昂立,2026-05-12 14:34:25
145,动物保健Ⅱ,-2.2,-41400656.0,-3.92,-19481566.0,-1.84,-21919090.0,-2.07,39830800.0,3.77,-6138560.0,-0.58,贤丰控股,2026-05-12 14:34:25
146,动物保健Ⅲ,-2.21,-41740024.0,-3.95,-19481566.0,-1.84,-22258458.0,-2.1,40086688.0,3.79,-6055088.0,-0.57,贤丰控股,2026-05-12 14:34:25
147,机床工具,-0.33,-42866896.0,-0.69,-64509312.0,-1.04,21642416.0,0.35,-21529472.0,-0.35,60797472.0,0.98,秦川机床,2026-05-12 14:34:25
148,棉纺,-0.35,-42941655.0,-3.56,-4766279.0,-0.39,-38175376.0,-3.16,26242176.0,2.17,16700368.0,1.38,孚日股份,2026-05-12 14:34:25
149,粘胶,-1.76,-44731893.0,-5.04,-32957085.0,-3.72,-11774808.0,-1.33,-6964259.0,-0.79,51696144.0,5.83,新乡化纤,2026-05-12 14:34:25
150,涤纶,-2.4,-45194234.0,-4.51,-38559475.0,-3.85,-6634759.0,-0.66,4762272.0,0.48,40430176.0,4.04,海 利 得,2026-05-12 14:34:25
151,人工景区,-1.0,-51192266.0,-11.81,-30500799.0,-7.04,-20691467.0,-4.77,27928389.0,6.44,23263877.0,5.37,大连圣亚,2026-05-12 14:34:25
152,金属包装,0.12,-51512672.0,-2.07,-9686144.0,-0.39,-41826528.0,-1.68,-39302048.0,-1.58,90814720.0,3.64,华源控股,2026-05-12 14:34:25
153,炭黑,-1.79,-52687696.0,-6.74,-8104621.0,-1.04,-44583075.0,-5.7,-4744528.0,-0.61,57432220.0,7.34,黑猫股份,2026-05-12 14:34:25
154,其他医疗服务,-2.54,-53344078.0,-7.98,-14251085.0,-2.13,-39092993.0,-5.84,10984310.0,1.64,34779867.0,5.2,数字人,2026-05-12 14:34:25
155,综合电商,-1.67,-53404384.0,-10.88,-41876077.0,-8.53,-11528307.0,-2.35,17529251.0,3.57,35875132.0,7.31,ST通葡,2026-05-12 14:34:25
156,公路货运,-2.77,-53753932.0,-12.83,-40993464.0,-9.79,-12760468.0,-3.05,33513303.0,8.0,20240629.0,4.83,长久物流,2026-05-12 14:34:25
157,国有大型银行Ⅲ,0.11,-53762528.0,-0.84,250844272.0,3.91,-304606800.0,-4.74,-20899632.0,-0.33,74662128.0,1.16,工商银行,2026-05-12 14:34:25
158,端到端供应链服务,-3.15,-53859451.0,-9.82,-10154992.0,-1.85,-43704459.0,-7.97,23564587.0,4.3,30294864.0,5.52,飞力达,2026-05-12 14:34:25
159,肉鸡养殖,-1.67,-54264165.0,-5.53,-23412249.0,-2.39,-30851916.0,-3.14,52017376.0,5.3,2246784.0,0.23,圣农发展,2026-05-12 14:34:25
160,水泥制造,-0.28,-56111920.0,-1.91,44344336.0,1.51,-100456256.0,-3.41,9287552.0,0.32,46822224.0,1.59,上峰水泥,2026-05-12 14:34:25
161,汽车服务,-2.19,-56300399.0,-6.64,-35045856.0,-4.13,-21254543.0,-2.5,62392549.0,7.35,-7719248.0,-0.91,浩物股份,2026-05-12 14:34:25
162,血液制品,-1.22,-56451039.0,-8.7,-38529641.0,-5.94,-17921398.0,-2.76,36217638.0,5.58,20233401.0,3.12,卫光生物,2026-05-12 14:34:25
163,其他橡胶制品,-1.36,-57837321.0,-3.03,-39997369.0,-2.1,-17839952.0,-0.94,23736704.0,1.24,15637664.0,0.82,科创新源,2026-05-12 14:34:25
164,酒店餐饮,-1.93,-58706943.0,-6.16,-15942595.0,-1.67,-42764348.0,-4.49,-18210992.0,-1.91,76917936.0,8.07,华天酒店,2026-05-12 14:34:25
165,零食,-0.2,-58902515.0,-3.13,-42717683.0,-2.27,-16184832.0,-0.86,46519232.0,2.47,12385264.0,0.66,盐津铺子,2026-05-12 14:34:25
166,大宗用纸,-2.32,-60077923.0,-3.87,-97312291.0,-6.26,37234368.0,2.4,51581776.0,3.32,8496144.0,0.55,太阳纸业,2026-05-12 14:34:25
167,房地产服务,-0.51,-62095086.0,-4.4,-15774814.0,-1.12,-46320272.0,-3.28,-19923760.0,-1.41,82018848.0,5.81,世联行,2026-05-12 14:34:25
168,多业态零售,-1.96,-63445607.0,-5.67,-35945434.0,-3.21,-27500173.0,-2.46,73932688.0,6.6,-10649408.0,-0.95,合百集团,2026-05-12 14:34:25
169,宠物食品,-2.29,-64033365.0,-10.72,-35687791.0,-5.97,-28345574.0,-4.75,-7845444.0,-1.31,68842200.0,11.52,路斯股份,2026-05-12 14:34:25
170,粮油加工,-1.68,-64073103.0,-8.11,-51744955.0,-6.55,-12328148.0,-1.56,55092980.0,6.97,8980128.0,1.14,嘉华股份,2026-05-12 14:34:25
171,种子,-1.67,-64534274.0,-4.55,-45638674.0,-3.22,-18895600.0,-1.33,63552992.0,4.48,-3132960.0,-0.22,农发种业,2026-05-12 14:34:25
172,农商行Ⅲ,-0.34,-65162710.0,-4.07,-10687366.0,-0.67,-54475344.0,-3.4,22626080.0,1.41,42537360.0,2.65,常熟银行,2026-05-12 14:34:25
173,涂料油墨,-0.93,-65749203.0,-3.45,-41466131.0,-2.18,-24283072.0,-1.28,-23937520.0,-1.26,89686720.0,4.71,百合花,2026-05-12 14:34:25
174,专业连锁Ⅱ,-1.79,-66715897.0,-4.93,-63470105.0,-4.69,-3245792.0,-0.24,74129072.0,5.47,-7413168.0,-0.55,天音控股,2026-05-12 14:34:25
175,专业连锁Ⅲ,-1.79,-66728489.0,-4.93,-63470105.0,-4.69,-3258384.0,-0.24,74198912.0,5.48,-7470432.0,-0.55,天音控股,2026-05-12 14:34:25
176,教育出版,-0.7,-66854136.0,-8.16,-40192226.0,-4.9,-26661910.0,-3.25,3411643.0,0.42,63442480.0,7.74,龙版传媒,2026-05-12 14:34:25
177,院线,-0.74,-71531462.0,-11.27,-42902700.0,-6.76,-28628762.0,-4.51,23865275.0,3.76,47666188.0,7.51,幸福蓝海,2026-05-12 14:34:25
178,综合环境治理,-0.7,-71846242.0,-2.69,-61172418.0,-2.29,-10673824.0,-0.4,43592448.0,1.63,28253792.0,1.06,东湖高新,2026-05-12 14:34:25
179,运动服装,-0.73,-73262534.0,-6.06,-40013894.0,-3.31,-33248640.0,-2.75,8864624.0,0.73,64397920.0,5.33,嘉麟杰,2026-05-12 14:34:25
180,机场,-0.72,-73999205.0,-11.51,-28008715.0,-4.36,-45990490.0,-7.16,6411323.0,1.0,67587883.0,10.52,厦门空港,2026-05-12 14:34:25
181,住宅开发,-0.09,-75204976.0,-0.35,74319248.0,0.35,-149524224.0,-0.7,-160608000.0,-0.76,236345856.0,1.11,深振业Ａ,2026-05-12 14:34:25
182,港口,-0.17,-76404848.0,-2.53,-71571184.0,-2.37,-4833664.0,-0.16,23233056.0,0.77,53171152.0,1.76,重庆港,2026-05-12 14:34:25
183,管材,-2.71,-76673496.0,-9.25,-29594775.0,-3.57,-47078721.0,-5.68,26255520.0,3.17,50417966.0,6.08,*ST顾地,2026-05-12 14:34:25
184,软饮料,-1.03,-76784474.0,-4.62,-14643258.0,-0.88,-62141216.0,-3.74,44446768.0,2.67,32337712.0,1.94,承德露露,2026-05-12 14:34:25
185,瓷砖地板,-0.46,-77306400.0,-6.1,-63235154.0,-4.99,-14071246.0,-1.11,32072656.0,2.53,45233760.0,3.57,东鹏控股,2026-05-12 14:34:25
186,纺织制造,-0.86,-77564368.0,-1.3,-71391776.0,-1.2,-6172592.0,-0.1,164621568.0,2.77,-86672704.0,-1.46,聚杰微纤,2026-05-12 14:34:25
187,资产管理,0.21,-78323647.0,-8.16,-20214773.0,-2.1,-58108874.0,-6.05,9619712.0,1.0,68703936.0,7.15,四川双马,2026-05-12 14:34:25
188,预加工食品,-1.71,-78395111.0,-6.45,-20991791.0,-1.73,-57403320.0,-4.72,14303408.0,1.18,58257920.0,4.79,春雪食品,2026-05-12 14:34:25
189,自然景区,-0.81,-78500469.0,-6.75,-29329802.0,-2.52,-49170667.0,-4.23,17387984.0,1.49,61123728.0,5.25,长白山,2026-05-12 14:34:25
190,油气及炼化工程,-1.9,-78543935.0,-4.91,-28446607.0,-1.78,-50097328.0,-3.13,7059264.0,0.44,71484688.0,4.47,惠博普,2026-05-12 14:34:25
191,油田服务,-0.75,-78549034.0,-5.46,-22859498.0,-1.59,-55689536.0,-3.87,909824.0,0.06,55317040.0,3.84,*ST准油,2026-05-12 14:34:25
192,图片媒体,-2.52,-78814216.0,-12.42,-25738956.0,-4.06,-53075260.0,-8.36,-3529506.0,-0.56,82343716.0,12.98,视觉中国,2026-05-12 14:34:25
193,仓储物流,-2.41,-82648873.0,-10.04,-41087907.0,-4.99,-41560966.0,-5.05,13174593.0,1.6,69474288.0,8.44,保税科技,2026-05-12 14:34:25
194,化学工程,-1.32,-83192190.0,-5.92,5988242.0,0.43,-89180432.0,-6.34,8909216.0,0.63,74274560.0,5.28,ST百利,2026-05-12 14:34:25
195,仪器仪表,-0.85,-83902560.0,-0.45,-214812768.0,-1.16,130910208.0,0.71,-10605312.0,-0.06,72899008.0,0.39,精测电子,2026-05-12 14:34:25
196,休闲食品,-0.79,-83943692.0,-3.06,-53468636.0,-1.95,-30475056.0,-1.11,51735216.0,1.88,32208464.0,1.17,盐津铺子,2026-05-12 14:34:25
197,食用菌,-2.73,-84267200.0,-13.29,-36417780.0,-5.74,-47849420.0,-7.55,78900.0,0.01,84188303.0,13.28,博闻科技,2026-05-12 14:34:25
198,乳品,-2.18,-84663088.0,-2.64,-107615216.0,-3.36,22952128.0,0.72,33206240.0,1.04,40681488.0,1.27,皇氏集团,2026-05-12 14:34:25
199,其他化学纤维,-0.77,-85510736.0,-2.23,35745776.0,0.93,-121256512.0,-3.17,58128512.0,1.52,4342128.0,0.11,泰和新材,2026-05-12 14:34:25
200,楼宇设备,-0.64,-85643312.0,-5.21,-85556752.0,-5.2,-86560.0,-0.01,96436304.0,5.87,-12521968.0,-0.76,通用电梯,2026-05-12 14:34:25
201,其他运输设备,-2.81,-89723104.0,-8.47,-37697699.0,-3.56,-52025405.0,-4.91,38720080.0,3.65,51009584.0,4.81,信隆健康,2026-05-12 14:34:25
202,租赁,-1.77,-89767059.0,-9.49,-48069335.0,-5.08,-41697724.0,-4.41,27871328.0,2.95,61869328.0,6.54,江苏金租,2026-05-12 14:34:25
203,出版,-1.04,-91543552.0,-2.05,-27938960.0,-0.63,-63604592.0,-1.43,69777568.0,1.57,21653936.0,0.49,中国科传,2026-05-12 14:34:25
204,家居用品,-0.82,-92666528.0,-1.16,-91292224.0,-1.14,-1374304.0,-0.02,154897856.0,1.93,-71248608.0,-0.89,ST喜临门,2026-05-12 14:34:25
205,大气治理,-0.99,-95131076.0,-6.46,-56488868.0,-3.84,-38642208.0,-2.62,36791712.0,2.5,58247376.0,3.96,电投水电,2026-05-12 14:34:25
206,其他种植业,-2.37,-95556904.0,-8.49,-77192318.0,-6.86,-18364586.0,-1.63,28203328.0,2.51,67173280.0,5.97,新农开发,2026-05-12 14:34:25
207,特种纸,-1.21,-103017107.0,-3.75,-96912675.0,-3.53,-6104432.0,-0.22,77205904.0,2.81,46046816.0,1.68,民士达,2026-05-12 14:34:25
208,厨房小家电,-0.4,-103685118.0,-13.51,-18263585.0,-2.38,-85421533.0,-11.13,-5594468.0,-0.73,108406889.0,14.12,利仁科技,2026-05-12 14:34:25
209,产业地产,-1.14,-108306529.0,-5.73,-61711745.0,-3.26,-46594784.0,-2.47,-120810480.0,-6.39,229290480.0,12.13,*ST华幸,2026-05-12 14:34:25
210,印刷包装机械,-1.81,-113809966.0,-7.28,-36237774.0,-2.32,-77572192.0,-4.97,-45096992.0,-2.89,154963312.0,9.92,鸿铭股份,2026-05-12 14:34:25
211,其他建材Ⅲ,-1.2,-114938906.0,-3.77,-147717418.0,-4.85,32778512.0,1.08,20483024.0,0.67,94457504.0,3.1,友邦吊顶,2026-05-12 14:34:25
212,其他农产品加工,-1.59,-115878243.0,-9.79,-85376661.0,-7.21,-30501582.0,-2.58,58396576.0,4.93,56435040.0,4.77,祖名股份,2026-05-12 14:34:25
213,油品石化贸易,-1.51,-117099838.0,-6.79,-55197790.0,-3.2,-61902048.0,-3.59,25355248.0,1.47,91749936.0,5.32,和顺石油,2026-05-12 14:34:25
214,非运动服装,-0.72,-121091141.0,-2.74,-48471445.0,-1.1,-72619696.0,-1.64,50474288.0,1.14,70616848.0,1.6,ST如意,2026-05-12 14:34:25
215,啤酒,-1.37,-121507661.0,-10.01,-55470344.0,-4.57,-66037317.0,-5.44,59665888.0,4.92,61839008.0,5.1,*ST兰黄,2026-05-12 14:34:25
216,分立器件,0.76,-122544128.0,-0.5,-332634880.0,-1.35,210090752.0,0.85,214364928.0,0.87,-92176032.0,-0.37,新洁能,2026-05-12 14:34:25
217,钾肥,2.55,-123407360.0,-2.03,-104517504.0,-1.72,-18889856.0,-0.31,11831056.0,0.19,111576304.0,1.84,亚钾国际,2026-05-12 14:34:25
218,电信运营商,-0.78,-125035264.0,-4.52,-29252528.0,-1.06,-95782736.0,-3.47,140839040.0,5.1,-15862528.0,-0.57,中国电信,2026-05-12 14:34:25
219,水务及水治理,-0.87,-128096928.0,-2.08,-48905888.0,-0.79,-79191040.0,-1.29,50582656.0,0.82,77452704.0,1.26,兴蓉环境,2026-05-12 14:34:25
220,电商服务,-3.0,-129690912.0,-5.96,-146796544.0,-6.75,17105632.0,0.79,69869392.0,3.21,59821520.0,2.75,若羽臣,2026-05-12 14:34:25
221,冶钢辅料,-0.96,-131784866.0,-13.89,-55429856.0,-5.84,-76355010.0,-8.05,-16104456.0,-1.7,147889328.0,15.59,鄂资Ｂ股,2026-05-12 14:34:25
222,橡胶,-1.5,-132030464.0,-3.66,-53789824.0,-1.49,-78240640.0,-2.17,56187456.0,1.56,57397984.0,1.59,科创新源,2026-05-12 14:34:25
