序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
1,000417,合百集团,10.038119316101074,8.66,215733876,6746377725.66,6753797241.28,3.1977734565734863,254989560,092500,092500,0,2/2,2,一般零售
2,002067,景兴纸业,10.0,5.28,415282384,7062548343.84,7787228359.68,5.880960941314697,173951796,092500,094045,1,1/1,1,造纸
3,002421,达实智能,9.915014266967773,3.88,221359859,7773103481.679999,8227856732.16,2.847766876220703,526531093,092500,092500,0,3/3,3,IT服务Ⅱ
4,603779,威龙股份,9.99083423614502,12.0,67863720,3984993048.0,3984993024.0,1.7029821872711182,949827480,092500,092500,0,8/6,5,非白酒
5,600506,统一股份,10.022026062011719,19.98,121573505,4987499787.72,4987499787.72,2.4375641345977783,137041621,092503,092503,0,1/1,1,炼化及贸
6,603082,北自科技,9.993552207946777,51.18,255338412,2075702142.0,8302805650.74,12.301342010498047,244681344,093001,093001,0,4/4,4,自动化设
7,001259,利仁科技,10.007513046264648,73.21,206544474,3480732771.7899995,5387442490.48,5.952192306518555,100499759,093036,093036,0,7/7,7,小家电
8,605488,福莱新材,9.99428939819336,38.52,257266438,10639488439.800001,11628453962.880001,2.4399685859680176,296421376,093103,093103,0,1/1,1,塑料
9,600903,贵州燃气,9.988649368286133,9.69,544986352,11143591163.519999,11143591163.519999,4.925846576690674,75178314,093105,100741,3,5/4,2,燃气Ⅱ
10,000586,汇源通信,10.0,20.57,359385504,3932778300.0,3979060800.0,9.214859008789062,321811499,093203,093527,2,1/1,1,通信设备
11,002173,创新医疗,10.008665084838867,25.39,638366240,10685763137.09,11204209697.28,6.041983127593994,952760790,093203,093203,0,1/1,1,医疗服务
12,002178,延华智能,10.035842895507812,6.14,154360784,4370348590.12,4372619469.12,3.5635123252868652,215620836,093203,093203,0,1/1,1,软件开发
13,688182,灿勤科技,20.010950088500977,43.84,522940192,17536000000.0,17536000000.0,3.0175681114196777,191100620,093327,100339,1,1/1,1,通信设备
14,600626,申达股份,9.921670913696289,4.21,128254592,4664590369.1,5560335069.12,2.778613328933716,31586897,093433,093515,1,1/1,1,汽车零部
15,603333,尚纬股份,10.0217866897583,10.1,286921088,6277428618.599999,6277428598.4,4.685905456542969,166850990,093523,093638,1,3/2,1,电网设备
16,600936,北投科技,9.98116683959961,5.84,335120096,9758793235.76,9758793241.6,3.4944610595703125,111622840,093533,093533,0,1/1,1,IT服务Ⅱ
17,002150,正泰电源,9.989909172058105,32.7,488349776,11724420780.6,11800409760.000002,4.241308689117432,710691990,093539,093539,0,1/1,1,通用设备
18,002552,宝鼎科技,9.988680839538574,38.87,648974032,14323722843.429998,15080989699.359999,4.574481964111328,221087895,093539,093539,0,9/6,2,元件
19,600863,华能蒙电,9.93914794921875,5.42,776470592,35375731935.62,42466727111.68,2.233157157897949,547407664,093556,094223,1,1/1,1,电力
20,002272,川润股份,9.995148658752441,22.67,1574568864,9252377331.66,10992168300.320002,17.466859817504883,177316850,093612,093709,1,2/2,2,通用设备
