序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业
21,603206,嘉环科技,9.98953914642334,21.03,319790528,6418355747.64,6418355663.52,5.159342288970947,173704708,093700,093700,0,2/2,2,通信服务
22,002375,亚厦股份,9.932279586791992,4.87,126531970,6481952765.07,6525782935.52,2.0111844539642334,225722094,093736,093736,0,1/1,1,装修装饰
23,300657,弘信电子,20.0,52.08,4062603968,24399683789.04,25109103747.84,17.322853088378906,690989003,093745,093745,0,2/2,2,元件
24,603608,天创时尚,10.032573699951172,16.89,309156960,7089344097.09,7089344012.64,4.515679359436035,125166047,093752,093752,0,1/1,1,服装家纺
25,603938,三孚股份,9.993247985839844,48.87,1544948560,18698859168.39,18698859119.52,8.459891319274902,103976887,093922,103222,2,5/3,2,化学原料
26,603636,南威软件,10.034903526306152,12.61,560853408,7318346195.03,7318346258.08,7.892493724822998,201020890,093933,093933,0,1/1,1,IT服务Ⅱ
27,603466,风语筑,10.049261093139648,11.17,685926352,6644114111.12,6644114200.48,10.510825157165527,145522726,094010,094610,3,1/1,1,数字媒体
28,000636,风华高科,9.989806175231934,32.37,2123517312,37452514403.07,37452517801.92,5.850427150726318,431093949,094015,094815,1,1/1,1,元件
29,605218,伟时电子,10.025839805603027,21.29,209391436,4531224363.4,5169525410.09,4.746011257171631,113441636,094206,094206,0,2/2,2,光学光电
30,600481,双良节能,10.076335906982422,7.21,1235681072,14882749062.02,14882749105.28,8.498564720153809,329224743,094519,094807,1,4/2,1,光伏设备
31,603727,博迈科,10.029153823852539,18.87,120842633,5316042756.990001,5316042813.6,2.34885835647583,115842552,094537,094537,0,1/1,1,油服工程
32,002135,东南网架,10.012360572814941,8.9,243016758,9290457195.5,9928145942.4,2.702064275741577,362987897,094806,094806,0,1/1,1,专业工程
33,603316,诚邦股份,10.014655113220215,22.52,646196496,5951225280.0,5951225280.0,11.2413911819458,71867400,094911,095202,2,2/2,2,基础建设
34,000910,大亚圣象,9.968847274780273,7.06,135406877,3863097860.0,3864626378.24,3.649674892425537,154617530,095006,095006,0,1/1,1,家居用品
35,300608,思特奇,20.0260066986084,18.46,923609152,5440077194.76,6246097245.440001,18.465286254882812,223215846,095236,095236,0,1/1,1,软件开发
36,600850,电科数字,10.019550323486328,22.51,1062396032,15311273659.910002,15311273547.36,7.118015289306641,132045483,095258,102143,6,2/2,2,IT服务Ⅱ
37,601929,吉视传媒,9.90099048614502,3.33,1019710336,11620994599.44,11620994626.08,9.029094696044922,331590411,095308,101117,1,1/1,1,电视广播
38,600831,广电网络,10.025062561035156,4.39,305145040,3121057294.8799996,3121057294.8799996,10.141463279724121,141204789,095841,101511,3,1/1,1,电视广播
39,603178,圣龙股份,10.0,23.76,540143056,5617146292.56,5617146292.56,9.920647621154785,229808905,100358,100358,0,1/1,1,汽车零部
40,600021,上海电力,10.017889022827148,18.45,1286035168,52051784735.25,52051784716.799995,2.537527322769165,571788433,100437,100437,0,1/1,1,电力
41,600758,辽宁能源,10.0,5.17,974989600,6828243346.98,6834829916.64,14.731064796447754,132747618,100504,100534,1,5/3,2,煤炭开采
42,600310,广西能源,9.980430603027344,5.62,742771152,8237294257.64,8237294246.400001,9.374674797058105,194334114,102323,102653,3,1/1,1,电力
43,603115,海星股份,10.003602981567383,91.6,726988560,22157160640.0,22157160640.0,3.49554181098938,114969083,103123,103123,0,2/2,2,元件
44,603989,艾华集团,10.0,24.2,608101728,9650472612.0,9650472515.199999,6.559334754943848,86371736,103832,103920,1,2/2,2,元件
45,603999,读者传媒,10.044313430786133,7.45,204532437,4291200000.0,4291200000.0,4.956319332122803,141734015,104830,104830,0,1/1,1,出版
46,301176,逸豪新材,20.0,44.52,450078272,7303666628.160001,7526848014.84,6.801446914672852,376024824,105127,105127,0,1/1,1,元件
47,600578,京能电力,9.987030029296875,8.48,3659308816,56770386207.200005,56770385469.44,6.900336265563965,163095653,105243,110104,2,5/5,5,电力
48,002782,可立克,10.007974624633789,27.59,763213856,13422568108.0,13683647201.44,5.899937152862549,615647674,110106,110106,0,5/3,1,其他电子
49,002893,京能热力,10.0,12.43,215665914,2520538221.74,3277045200.0,9.144539833068848,255785783,110542,110542,0,1/1,1,电力
